Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Twin Falls County, Idaho",90049,90372,92394,93821,95156,4784,5.312663105642484
".Radford city, Virginia",16069,16119,16527,16719,16971,852,5.302134544775655
".Henry County, Georgia",240703,241852,245085,248472,254613,12761,5.3015541974964995
".Ozark County, Missouri",8552,8517,8785,8954,8970,453,5.297006548175865
".Wake County, North Carolina",1129352,1130483,1152301,1170778,1190275,59792,5.294363493401526
".Lanier County, Georgia",9883,9929,10051,10177,10452,523,5.291915410300517
".Lake County, Michigan",12098,12094,12274,12651,12734,640,5.2901306000991895
".Texas County, Missouri",24492,24324,24868,25304,25619,1295,5.287440796994937
".Lyon County, Nevada",59236,59465,60961,61628,62583,3118,5.263690998716997
".Butts County, Georgia",25436,25549,26164,26745,26887,1338,5.260261047334486
".Bartow County, Georgia",108897,109314,110936,112815,115041,5727,5.259098046778148
".Robertson County, Tennessee",72805,72953,74031,75398,76776,3823,5.251012979877755
".Spencer County, Kentucky",19433,19511,19887,20212,20531,1020,5.248803581536562
".Throckmorton County, Texas",1441,1451,1503,1539,1526,75,5.20471894517696
".Isle of Wight County, Virginia",38611,38707,39391,40135,40711,2004,5.190230763253996
".Oconee County, Georgia",41798,42016,43034,43624,44182,2166,5.182066127565912
".Van Buren County, Tennessee",6168,6174,6293,6430,6493,319,5.171854734111543
".Heard County, Georgia",11409,11444,11532,11716,12034,590,5.171355947059339
".DeKalb County, Tennessee",20078,20189,20500,21002,21225,1036,5.159876481721287
".George County, Mississippi",24347,24364,24788,25199,25619,1255,5.154639175257731
".Freestone County, Texas",19439,19440,19788,20032,20441,1001,5.14944184371624
".Livingston Parish, Louisiana",142282,142834,146121,148056,150145,7311,5.1383871466524225
".Leon County, Texas",15717,15732,16009,16220,16538,806,5.128205128205128
".Austin County, Texas",30165,30132,30431,31070,31677,1545,5.121829935355544
".San Jacinto County, Texas",27397,27533,27811,28340,28936,1403,5.12099864948717
".Garrard County, Kentucky",16946,16963,17366,17566,17829,866,5.110350525197687
".Rogers County, Oklahoma",95236,95386,96871,99060,100248,4862,5.105212314670923
".Chesterfield County, Virginia",364061,365311,370931,378290,383876,18565,5.099420152117365
".York County, South Carolina",282089,284028,289201,294201,298320,14292,5.06648610899397
".Harris County, Georgia",34666,34898,35589,36257,36654,1756,5.065482028500548
".Hickory County, Missouri",8274,8299,8572,8575,8718,419,5.064056079284505
".Morgan County, Utah",12294,12382,12662,12837,13000,618,5.0268423621278675
".Yavapai County, Arizona",236210,237217,242352,246230,249081,11864,5.02264933745396
".Warren County, Iowa",52398,52591,53485,54303,55205,2614,4.988740028245353
".Jerome County, Idaho",24242,24270,24738,25244,25479,1209,4.987212276214834
".Skamania County, Washington",12033,12041,12209,12455,12640,599,4.97797722928613
".Faulkner County, Arkansas",123493,123820,125608,127565,129951,6131,4.964653867020803
".Fannin County, Texas",35661,35801,36723,37075,37571,1770,4.96340540085808
".Queen Anne's County, Maryland",49876,50033,50922,51720,52508,2475,4.962306520170022
".Hancock County, Tennessee",6661,6627,6794,6846,6956,329,4.939198318570785
".Lexington County, South Carolina",293977,295047,300650,305105,309528,14481,4.92589556325835
".Sheridan County, Wyoming",30917,31000,31653,32035,32519,1519,4.913154575152828
".Randall County, Texas",140755,141347,144055,146244,148255,6908,4.907818549962701
".Stanly County, North Carolina",62505,62642,63100,64231,65699,3057,4.890808735301176
".Saunders County, Nebraska",22281,22374,22832,23177,23463,1089,4.887572371078497
".Stafford County, Virginia",156939,157765,161568,163169,165428,7663,4.882788854268219
".Cooke County, Texas",41670,41748,42398,43048,43782,2034,4.881209503239741
".Lee County, Alabama",174247,174754,177596,180698,183215,8461,4.855750744632619
".Stevens County, Washington",46450,46591,47619,48283,48837,2246,4.835306781485468
".Roane County, Tennessee",53396,53517,54088,55129,56096,2579,4.829949808974455
".Dorchester County, South Carolina",161329,162043,163452,166050,169833,7790,4.8286420916264285
".Lumpkin County, Georgia",33488,33641,32843,34706,35258,1617,4.828595317725752
".Bingham County, Idaho",47983,48097,48929,49973,50395,2298,4.789196173644832
".Columbia County, Florida",69694,69740,69932,71870,73063,3323,4.767985766350045
".Brookings County, South Dakota",34370,34343,34696,35491,35980,1637,4.76287459994181
".Monroe County, Tennessee",46248,46394,46649,47680,48594,2200,4.756962463241654
".Milam County, Texas",24747,24774,25212,25622,25951,1177,4.756132056410878
".Power County, Idaho",7876,7879,7975,8136,8253,374,4.748603351955307
".Hillsborough County, Florida",1459779,1466255,1484607,1513473,1535564,69309,4.747910471379572
".Sherburne County, Minnesota",97189,97593,99211,100540,102206,4613,4.746421920176152
".Grainger County, Tennessee",23530,23569,23800,24185,24681,1112,4.725881852953676
".Putnam County, Tennessee",79853,80071,81250,82470,83844,3773,4.724932062665147
".Orange County, North Carolina",148717,143602,148693,150253,150626,7024,4.723064612653563
".Aiken County, South Carolina",168806,169168,171247,174228,177130,7962,4.716656990865253
